Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
Presentación de la lista del peronismo en Corrientes,,,🔍 Buscar video,07/06/2025,CFK-20250607-01,Paso de los Libres,,,Argentina,Corrientes,,,No,,
"195° aniversario de la declaración de la independencia ",9 de julio,,🎥 Video disponible,09/07/2011,CFK-20110709-02,San Miguel de Tucumán,,,Argentina,Tucumán,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110709-02.mp4""",
"Visita a Virrey del Pino en La Matanza, Buenos Aires",,,🔍 Buscar video,07/01/2010,CFK-20100107-01,La Matanza,,,Argentina,Buenos Aires,,,No,,
Firma de convenios comerciales entre Argentina y Venezuela,Visitas de mandatarios extranjeros,,🎥 Video disponible,01/12/2011,CFK-20111201-02,Caracas,,,Venezuela,,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111201-01.mp4""",
Firma del Programa Federal de Desendeudamiento para las Provincias,,,🎥 Video disponible,12/05/2015,CFK-20150512-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2015\CFK-20150512-01.mp4""",
Asunción del mandato presidencial período 2011-2015,Asunciones y apertura de sesiones,,🎥 Video disponible,10/12/2011,CFK-20111210-01,,Congreso de la Nación,https://www.cronista.com/resizer/v2/VSDL2TMJUFDJFBHIPA25VDXETI.jpg?auth=ec447e1f81d4d30a34eb9e74c183a31a99c41d88b6c854c4b1b48638a8a959fc&smart=true&width=800&height=450&quality=70,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111210-01.mp4""",https://1drv.ms/v/c/0acaa6780c141b17/IQBiIvcaI8J_RrcvyzfHSWCxAUs0hRmDKD6JWvBkjJhwf6Q?e=v4MICQ
Inauguración de planta de Aluminio en Berazategui,,,🎥 Video disponible,30/11/2011,CFK-20111130-01,Berazategui,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111130-01.mp4""",
Puesta en marcha de la Central de Atucha II,,,🎥 Video disponible,28/09/2011,CFK-20110928-01,Zárate,Central Nuclear Atucha II,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110928-01.mp4""",
Almuerzo en honor al presidente Luiz Inacio “Lula” Da Silva,Visitas de mandatarios extranjeros,,🔍 Buscar video,23/04/2009,CFK-20090423-01,,Palacio San Martín,,Argentina,Capital Federal,,,No,,
Visita a la ciudad de Bragado,,,🔍 Buscar video,10/08/2010,CFK-20100810-01,Bragado,,,Argentina,Buenos Aires,,,No,,
Presentación del Programa de Identificación Biométrica,,,🎥 Video disponible,07/11/2011,CFK-20111107-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111107-01.mp4""",
"Cena en honor del Presidente de la República Bolivariana de Venezuela, Nicolás Maduro",Visitas de mandatarios extranjeros,,🎥 Video disponible,08/05/2013,CFK-20130508-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2013\CFK-20130508-01.mp4""",
Ampliación de la red de Televisión Digital,,,🎥 Video disponible,25/08/2011,CFK-20110825-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110825-01.mp4""",
"Conferencia de Prensa junto al Ministro de Ciencia, tecnología e Innovación Productiva",Conferencias de prensa y entrevistas,,🔍 Buscar video,14/05/2009,CFK-20090514-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Descubrimiento de la fotografía en homenaje a las Mujeres de Malvinas,Malvinas,,🔍 Buscar video,30/03/2010,CFK-20100330-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
"Declaraciones a la prensa en el hospital Mi Pueblo de Florencio Varela, Buenos Aires",Conferencias de prensa y entrevistas,,🔍 Buscar video,23/07/2009,CFK-20090723-01,Florencio Varela,,,Argentina,Buenos Aires,,,No,,
Cierre de los Carnavales Federales de la Alegría 2011,,,🎥 Video disponible,17/03/2011,CFK-20110317-01,,Casa de Gobierno - Patio de las Palmeras,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110317-01.mp4""",
Anuncio del proyecto e ley de incentivos para la producción de motocicletas y motopartes,,,🔍 Buscar video,11/11/2008,CFK-20081111-02,,Ministerio de Economía,,Argentina,Capital Federal,,,No,,
"Cierre del seminario “Oportunidades de comercio, negocios e inversiones entre Argentina y Rusia”",Viajes al exterior,,🔍 Buscar video,09/12/2008,CFK-20081209-01,Moscú,,,Rusia,,,,No,,
Acto de cierre de Argentina Exporta Audiovisual,,,🎥 Video disponible,06/12/2011,CFK-20111206-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111206-01.mp4""",
Inauguración del Museo del Libro y de la Lengua,,,🎥 Video disponible,29/09/2011,CFK-20110929-02,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110929-02.mp4""",
Declaraciones a la prensa tras la recorrida por Y-TEC,Conferencias de prensa y entrevistas,,🔍 Buscar video,26/11/2015,CFK-20151126-01,Berisso,Centro Tecnológico de YPF,,Argentina,Buenos Aires,,,No,,
Acto de cierre de la Conferencia anual de la UIA,,,🎥 Video disponible,22/11/2011,CFK-20111122-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111122-01.mp4""",
Acto de inauguración del nuevo tramo de la Línea Comahue-Cuyo,,,🎥 Video disponible,26/09/2011,CFK-20110926-01,Maipú,,,Argentina,Mendoza,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110926-01.mp4""",
Lanzamiento de la ruta Buenos Aires-Dubai de Emirates,,,🎥 Video disponible,22/11/2011,CFK-20111122-02,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111122-02.mp4""",
Acto de puesta en marcha del hangar de Aerolíneas Argentinas,Aerolíneas Argentinas,,🎥 Video disponible,24/11/2011,CFK-20111124-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111124-01.mp4""",
Conferencia de la Presidenta ante docentes y alumnos de la Universidad de Harvard,Conferencias y disertaciones,,🔍 Buscar video,27/09/2012,CFK-20120927-01,Boston,Universidad de Harvard,,Estados Unidos,,,,No,,
Firma del convenio quinquenal entre el sector de la Construcción y el Ministerio de Trabajo,,,🎥 Video disponible,21/10/2010,CFK-20101021-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101021-01.mp4""",
42º aniversario de la FADEEAC,,,🔍 Buscar video,26/11/2009,CFK-20091126-01,,,,Argentina,Capital Federal,,,No,,
Acto en El Calafate,,,🔍 Buscar video,13/08/2010,CFK-20100813-02,El Calafate,,,Argentina,Santa Cruz,,,No,,
Visita a la Escuela Néstor Kirchner en La Matanza,,,🎥 Video disponible,07/12/2011,CFK-20111207-01,La Matanza,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111207-01.mp4""",
Presentación de nuevas formaciones del Ferrocarril Roca,,,🎥 Video disponible,05/03/2015,CFK-20150305-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2015\CFK-20150305-01.mp4""",
"Declaraciones a los medios en Olta, La Rioja",Conferencias de prensa y entrevistas,,🔍 Buscar video,17/06/2010,CFK-20100617-02,Olta,,,Argentina,La Rioja,,,No,,
"Inauguración de obras en Malvinas Argentinas, Buenos Aires",,,🔍 Buscar video,05/04/2010,CFK-20100405-01,Malvinas Argentinas,,,Argentina,Buenos Aires,,,No,,
87 aniversario del Día del Camino,,,🔍 Buscar video,06/10/2015,CFK-20151006-01,Vicente López,Tecnópolis,,Argentina,Buenos Aires,,,No,,
Inauguración de la División Cuartel XI “Albariños”,,,🎥 Video disponible,03/02/2011,CFK-20110203-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110203-01.mp4""",
Firma de convenio para el financiamiento agropecuario,,,🔍 Buscar video,11/01/2011,CFK-20111101-02,,Banco Nación,,Argentina,Capital Federal,,,No,,
"Inauguración del Hospital Materno Infantil, Alberto Balestrini, en La Matanza ",,,🔍 Buscar video,04/10/2013,CFK-20131004-01,La Matanza,,,Argentina,Buenos Aires,,,No,,
Reunión de trabajo con miembros de UNASUR,UNASUR,,🔍 Buscar video,24/09/2008,CFK-20080924-01,Nueva York,,,Estados Unidos,,,,No,,
Expo industrial y encuentro de mujeres en Berazategui,,,🔍 Buscar video,03/09/2009,CFK-20090903-02,Berazategui,,,Argentina,Buenos Aires,,,No,,
Presentación de un nuevo sistema de pago en moneda local entre Argentina y Brasil,,,🔍 Buscar video,02/10/2008,CFK-20081002-01,,Banco Central de la República Argentina,,Argentina,Capital Federal,,,No,,
Inauguración de la nueva Terminal C del Aeropuerto de Ezeiza,,,🎥 Video disponible,09/07/2011,CFK-20110709-01,Ezeiza,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110709-01.mp4""",
"Presentación del Plan Estratégico Industrial 2020 ",,,🎥 Video disponible,04/10/2011,CFK-20111004-01,Venado Tuerto,,,Argentina,Santa Fe,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111004-01.mp4""",
Inauguración del tren urbano en Salta,,,🔍 Buscar video,18/06/2009,CFK-20090618-01,Salta,,,Argentina,Salta,,,No,,
Inauguración de Centro Cívico en San Juan,,,🔍 Buscar video,30/04/2009,CFK-20090430-01,San Juan,,,Argentina,San Juan,,,No,,
Lanzamiento de una línea de créditos para PyMES,,,🔍 Buscar video,20/04/2009,CFK-20090420-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
Presentación Proyecto Ley Democratización representación política,,,🔍 Buscar video,28/10/2009,CFK-20091028-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
146º aniversario de Chacabuco y 38º Fiesta Nacional del Maíz,,,🎥 Video disponible,05/08/2011,CFK-20110805-02,Chacabuco,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110805-02.mp4""",
Conferencia de prensa al término de la XIX Cumbre Iberoamericana,Conferencias de prensa y entrevistas,,🔍 Buscar video,01/12/2009,CFK-20091201-01,Estoril,,,Portugal,,,,No,,
"Conferencia de prensa junto a José Mujica, luego del encuentro en la Residencia Presidencial Anchorena, Uruguay",Conferencias de prensa y entrevistas,,🔍 Buscar video,02/06/2010,CFK-20100602-01,Colonia,Residencia Presidencial Anchorena,,Uruguay,,,,No,,
"Visita a Río Gallegos, Santa Cruz",,,🔍 Buscar video,01/06/2009,CFK-20090601-01,Río Gallegos,,,Argentina,Santa Cruz,,,No,,
"Ceremonia de egresados conjuntos de subtenientes, guardiamarinas y alféreces",Fuerzas Armadas,,🔍 Buscar video,15/12/2008,CFK-20081215-03,El Palomar,Colegio Militar de la Nación,,Argentina,Buenos Aires,,,No,,
Seminario-taller “El rol de la cancillería en el desarrollo de los mercados en el mundo”,Conferencias y disertaciones,,🔍 Buscar video,09/03/2009,CFK-20090309-01,,Palacio San Martín,,Argentina,Capital Federal,,,No,,
"Presentación del programa Argentina con vos, siempre",,,🔍 Buscar video,12/01/2011,CFK-20110112-03,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
Inauguración del Centro de Procesos Múltiples del INTI,,,🔍 Buscar video,16/09/2009,CFK-20090916-01,San Martín,Instituto Nacional de Tecnología Industrial,,Argentina,Buenos Aires,,,No,,
Palabras de la Presidenta al despedir a la selección argentina básquetbol,Deporte,,🔍 Buscar video,11/08/2010,CFK-20100811-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
Arribo a Cuba,Conferencias de prensa y entrevistas,,🎥 Video disponible,19/09/2015,CFK-20150919-02,La Habana,,,Cuba,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2015\CFK-20150919-02.mp4""",
II Cumbre de presidentes de América del Sur y de los países árabes,Cumbre América del Sur - Países Árabes,,🔍 Buscar video,31/03/2009,CFK-20090331-02,Doha,,,Qatar,,,,No,,
Celebración de los 25 años de la creación del consejo interuniversitario nacional,Universidades Nacionales,,🎥 Video disponible,03/08/2011,CFK-20110803-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110803-02.mp4""",
Firma del Tratado de Maipú de integración y cooperación,Viajes al exterior,,🔍 Buscar video,30/10/2009,CFK-20091030-03,Maipú,,,Chile,,,,No,,
Inauguración de la Escuela Néstor Kirchner,,,🎥 Video disponible,30/11/2010,CFK-20101130-01,Campo Afuera,,,Argentina,San Juan,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101129-01.mp4""",
Participación en el Congreso Nacional Educativo «Imaginar y transformar»,Conferencias y disertaciones,,🔍 Buscar video,22/03/2025,CFK-20250322-01,,Universidad Nacional de Buenos Aires,,Argentina,Capital Federal,,,No,,
202° aniversario de la revolución de mayo,Revolución de mayo,,🎥 Video disponible,25/05/2012,CFK-20120525-01,Bariloche,,,Argentina,Río Negro,,https://goo.su/TjpumrJ,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120525-01.mp4""",https://goo.su/TjpumrJ
"Visita a Ensenada, Buenos Aires",,,🔍 Buscar video,22/06/2009,CFK-20090622-02,Ensenada,,,Argentina,Buenos Aires,,,No,,
"Inauguración Unidad Operativa Oeste de Coca-Cola FEMSA, Tapiales, La Matanza",,,🔍 Buscar video,22/09/2010,CFK-20100922-01,La Matanza,,,Argentina,Buenos Aires,,,No,,
Día del veterano y de los caídos en la guerra de Malvinas,Malvinas,,🎥 Video disponible,02/04/2010,CFK-20100402-01,Ushuaia,,,Argentina,Tierra del Fuego Antártida e Islas del Atlántico Sur,,https://goo.su/Eav9hLx,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20100402-01.mp4""",https://goo.su/Eav9hLx
Informe sobre la Ley de Promociones de Inversiones,,,🔍 Buscar video,29/12/2009,CFK-20091229-02,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Plenario de la Cumbre de Mercosur en Brasilia,MERCOSUR,,🎥 Video disponible,17/07/2015,CFK-20150717-01,Brasilia,,,Brasil,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2015\CFK-20150717-01.mp4""",
Cena de FEDEEAC,,,🔍 Buscar video,09/04/2011,CFK-20110409-01,,,,Argentina,Capital Federal,,,No,,
Acto junto a organizaciones sociales de Jujuy,,,🔍 Buscar video,01/08/2013,CFK-20130801-02,San Salvador de Jujuy,,,Argentina,Jujuy,,,No,,
"Conferencia de prensa tras los resultados de las elecciones Primarias Abiertas, Simultáneas y Obligatorias (PASO)",Conferencias de prensa y entrevistas,,🎥 Video disponible,15/08/2011,CFK-20110815-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110815-01.mp4""",
133° aniversario del bautismo del lago Argentino,,,🔍 Buscar video,15/02/2010,CFK-20100215-01,El Calafate,,,Argentina,Santa Cruz,,,No,,
"Conferencia “Los niños en América Latinas: un futuro sin pobreza”, organizado por la Fundación ALAS",Conferencias y disertaciones,,🔍 Buscar video,24/09/2008,CFK-20080924-02,Nueva York,,,Estados Unidos,,,,No,,
Entrega de la Memoria final por los límites demarcatorios entre Paraguay y Bolivia,,,🔍 Buscar video,27/04/2009,CFK-20090427-02,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
"Declaraciones tras el encuentro con el presidente de Venezuela, Hugo Chávez",Conferencias de prensa y entrevistas,,🎥 Video disponible,29/03/2011,CFK-20110329-02,,Casa de Gobierno - Salón de los Pensadores y Escritores Argentinos,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110329-02.mp4""",
Entrega de diplomas del Plan FinEs,,,🔍 Buscar video,17/06/2009,CFK-20090617-03,,Ministerio de Educación,,Argentina,Capital Federal,,,No,,
Visita al Parque Industrial de Las Flores,,,🎥 Video disponible,08/08/2011,CFK-20110808-01,Las Flores,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110808-01.mp4""",
Acto en Atucha II,,,🔍 Buscar video,17/06/2009,CFK-20090617-02,Zárate,Central Nuclear Atucha II,,Argentina,Buenos Aires,,,No,,
Inauguración de la planta de La Salteña en Burzaco,,,🎥 Video disponible,03/08/2011,CFK-20110803-01,Almirante Brown,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110803-01.mp4""",
Foro de Líderes Mundiales en la Universidad de Columbia,Conferencias y disertaciones,,🔍 Buscar video,21/09/2009,CFK-20090921-02,Nueva York,Universidad de Columbia,,Estados Unidos,,,,No,,
Acto por el Día de la Soberanía Nacional,Día de la Soberanía Nacional,,🎥 Video disponible,20/11/2010,CFK-20101120-01,San Pedro,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101120-01.mp4""",
"50° aniversario de la industria avícola, en el hotel Hilton",,,🔍 Buscar video,19/08/2009,CFK-20090819-01,,,,Argentina,Capital Federal,,,No,,
"Entrega de viviendas en Malvinas Argentinas, Buenos Aires",,,🔍 Buscar video,05/10/2009,CFK-20091005-01,Malvinas Argentinas,,,Argentina,Buenos Aires,,,No,,
Inauguración de la Terminal de Trenes y Ómnibus de Mar del Plata,,,🎥 Video disponible,22/07/2011,CFK-20110722-01,Mar del Plata,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110722-01.mp4""",
Presentación oficial fórmula Filmus - Tomada,Acto partidario,,🎥 Video disponible,21/05/2011,CFK-20110521-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110521-01.mp4""",
Cierre 59º Convención anual Cámara Argentina de la Construcción,,,🎥 Video disponible,29/11/2011,CFK-20111129-02,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111129-02.mp4""",
"Cena de honor en Hannover, Alemania",Viajes al exterior,,🎥 Video disponible,07/10/2010,CFK-20100710-01,Hannover,,,Alemania,,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20100710-01.mp4""",
Presentación del informe sobre Papel Prensa,,,🔍 Buscar video,24/08/2010,CFK-20100824-01,,Casa de Gobierno - Salón de los Patriotas Latinoamericanos,,Argentina,Capital Federal,,,No,,
Interconexión eléctrica de la Patagonia,,,🔍 Buscar video,22/07/2010,CFK-20100722-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
Declaraciones luego de inaugurar el Salón de los Pensadores y Escritores Argentinos,Conferencias de prensa y entrevistas,,🔍 Buscar video,15/09/2010,CFK-20100915-06,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
Entrega de Aportes no reintegrables a 12 parques industriales,,,🎥 Video disponible,14/12/2011,CFK-20111214-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111214-01.mp4""",
Anuncio de la candidatura de Amado Boudou a vicepresidente,,,🎥 Video disponible,25/06/2011,CFK-20110625-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110625-01.mp4""",
Cena en honor al premier chino Wen Jiabao,Visitas de mandatarios extranjeros,,🎥 Video disponible,24/06/2012,CFK-20120624-02,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120624-02.mp4""",
Acto recordatorio del Día de la Lealtad,17 de octubre,,🎥 Video disponible,17/10/2012,CFK-20121017-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121017-01.mp4""",
Cena de Camaradería de las Fuerzas Armadas,Fuerzas Armadas,,🎥 Video disponible,10/07/2012,CFK-20120710-01,,Edificio Libertador,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120710-01.mp4""",
Resolución en defensa de los consumidores de telefonía celular,,,🎥 Video disponible,31/05/2012,CFK-20120531-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120531-01.mp4""",
Presentación transbordador del Bicentenario,,,🔍 Buscar video,25/08/2010,CFK-20100825-01,,,,Argentina,Capital Federal,,,No,,
Presentación del AirBus A330-200 de Aerolíneas Argentinas,Aerolíneas Argentinas,,🎥 Video disponible,10/03/2015,CFK-20150310-01,Ezeiza,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2015\CFK-20150310-01.mp4""",
"Visita a Adolfo Alsina, provincia de Buenos Aires",,,🔍 Buscar video,16/06/2010,CFK-20100616-01,Adolfo Alsina,,,Argentina,Buenos Aires,,,No,,
Conferencia de Prensa junto a Hillary Clinton Secretaria de Estado de Estados Unidos,Conferencias de prensa y entrevistas,,🔍 Buscar video,01/03/2010,CFK-20100301-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Acto de anuncios de desarrollo social y salud,,,🎥 Video disponible,15/10/2014,CFK-20141015-01,Vicente López,Tecnópolis,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2014\CFK-20141015-01.mp4""",
"Intervención en el Encuentro Mundial de Sindicalistas en Ginebra, Suiza",Organización Internacional del Trabajo,,🔍 Buscar video,15/06/2009,CFK-20090615-03,Ginebra,Sede de la Organización Internacional del Trabajo,,Suiza,,,,No,,
Videoconferencia con el presidente de la Federación Rusa,,,🔍 Buscar video,21/10/2015,CFK-20151021-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
Firma del decreto que regula la distribución de diarios y revistas,,,🔍 Buscar video,08/09/2010,CFK-20100908-01,,Casa de Gobierno - Salón Norte,,Argentina,Capital Federal,,,No,,
"Apertura de la Cumbre Progresista en Viña del Mar, Chile",Viajes al exterior,,🔍 Buscar video,28/03/2009,CFK-20090328-01,Viña del Mar,,,Chile,,,,No,,
Almuerzo con empresarios periodísticos,,,🔍 Buscar video,15/09/2010,CFK-20100915-05,,Casa de Gobierno - Salón de los Pensadores y Escritores Argentinos,,Argentina,Capital Federal,,,No,,
Apertura del Congreso de Microsoft,Conferencias y disertaciones,,🔍 Buscar video,13/05/2009,CFK-20090513-03,Escobar,,,Argentina,Buenos Aires,,,No,,
"Visita a San Pedro, Misiones",,,🔍 Buscar video,03/03/2010,CFK-20100303-02,San Pedro,,,Argentina,Misiones,,,No,,
Apertura del V Congreso de Traducción e Interpretación,Conferencias y disertaciones,,🔍 Buscar video,12/05/2010,CFK-20101205-01,,,,Argentina,Capital Federal,,,No,,
"Teleconferencia de inauguración del Estadio Bicentenario, en San Juan",,,🎥 Video disponible,16/03/2011,CFK-20110316-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110316-01.mp4""",
Acto por renegociación de contrato de Hidrovía,,,🔍 Buscar video,21/01/2010,CFK-20100121-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
Cena en honor al primer ministro de Kuwait,Visitas de mandatarios extranjeros,,🔍 Buscar video,27/07/2010,CFK-20100727-01,,Palacio San Martín,,Argentina,Capital Federal,,,No,,
Inauguración del Hospital de Ojos de Hurlingham,,,🔍 Buscar video,10/03/2009,CFK-20090310-01,Hurlingham,,,Argentina,Buenos Aires,,,No,,
Inauguración del Centro de Documentación Rápida,,,🔍 Buscar video,12/11/2009,CFK-20091112-01,,,,Argentina,Capital Federal,,,No,,
Saludo de fin de año,Cadena Nacional,,🎥 Video disponible,30/12/2010,CFK-20101230-01,,Casa de Gobierno - Despacho presidencial,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101230-01.mp4""",
Inauguración de una nueva línea de producción de la empresa Calviño,,,🎥 Video disponible,13/10/2011,CFK-20111013-01,Florencio Varela,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111013-01.mp4""",
Firma de convenio por obras de dragado en el acceso al puerto de Mar del Plata,,,🔍 Buscar video,24/10/2008,CFK-20081024-03,Mar del Plata,,,Argentina,Buenos Aires,,,No,,
Anuncio de medidas para el mantenimiento de la actividad economica y el fortalecimiento del empleo,,,🔍 Buscar video,18/12/2008,CFK-20081218-03,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
Firma de convenios de obras públicas para la provincia de Córdoba,,,🔍 Buscar video,25/02/2009,CFK-20090225-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
"Reunión nacional del Consejo del PJ, Olivos",Acto partidario,,🎥 Video disponible,21/12/2010,CFK-20101221-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101221-01.mp4""",
Presentación del Rally Dakar 2011,Deporte,,🔍 Buscar video,29/03/2010,CFK-20100329-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
Cena de honor a Jefes de Estado en la XX Cumbre Iberoamericana,Cumbre Iberoamericana,,🎥 Video disponible,03/12/2010,CFK-20101203-01,Mar del Plata,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101203-01.mp4""",
Homenaje al ex presidente Raúl Alfonsín,Homenajes y conmemoraciones,,🔍 Buscar video,30/09/2008,CFK-20080930-01,,Casa de Gobierno - Galería de Bustos Presidenciales,,Argentina,Capital Federal,,,No,,
Visita a Marcos Paz,,,🔍 Buscar video,22/12/2009,CFK-20091222-01,Marcos Paz,,,Argentina,Buenos Aires,,,No,,
Visita a la provincia de Mendoza,,,🎥 Video disponible,05/03/2011,CFK-20110305-01,Mendoza,,,Argentina,Mendoza,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110305-01.mp4""",
Inauguración de la sede administrativa y creativa de la empresa MTV,,,🔍 Buscar video,18/03/2009,CFK-20090318-02,,,,Argentina,Capital Federal,,,No,,
Celebración del 228 Aniversario de la Fundación de la ciudad de Gualeguaychú,,,🎥 Video disponible,18/10/2011,CFK-20111018-01,Gualeguaychú,,,Argentina,Entre Ríos,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111018-01.mp4""",
