Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
"Visita a la bodega Luigi Bosca, en Luján de Cuyo, Mendoza",,,🔍 Buscar video,11/02/2008,CFK-20080211-01,Luján de Cuyo,,,Argentina,Mendoza,,,No,,
Visita al partido de Lanús,,,🔍 Buscar video,03/04/2008,CFK-20080403-01,Lanús,,,Argentina,Buenos Aires,,,No,,
Convenios con municipios por proyecto hortícola del oeste,,,🔍 Buscar video,22/04/2008,CFK-20080422-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Cristina Fernández en el acto de entrega de Viviendas,,,🔍 Buscar video,04/04/2008,CFK-20080404-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Apertura de sobres para la refacción y equipamiento del Hospital Posadas,,,🔍 Buscar video,23/04/2008,CFK-20080423-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Palabras en la sede de la UNESCO,Viajes al exterior,,🔍 Buscar video,07/04/2008,CFK-20080407-01,Paris,Sede de la UNESCO,,Francia,,,,No,,
Presentación del Plan Federal para la finalización de la educación primaria y secundaria,,,🔍 Buscar video,24/04/2008,CFK-20080424-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Inauguración de la plaza “Jardín de las Abuelas y Madres de Plaza de Mayo” en París,Viajes al exterior,,🔍 Buscar video,07/04/2008,CFK-20080407-06,Paris,,,Francia,,,,No,,
"Inauguración de viviendas, Posadas, Misiones",,,🔍 Buscar video,24/04/2008,CFK-20080424-02,Posadas,,,Argentina,Capital Federal,,,No,,
"Visita a Añatuya, Santiago del Estero",,,🔍 Buscar video,28/04/2008,CFK-20080428-01,Añatuya,,,Argentina,Santiago del Estero,,,No,,
Encuentro con el mandatario francés Nicolás Sarkozy,Viajes al exterior,,🔍 Buscar video,07/04/2008,CFK-20080407-05,Paris,,,Francia,,,,No,,
Seminario “La mujer y la alianza de las civilizaciones: oportunidades y desafios”,Conferencias y disertaciones,,🔍 Buscar video,28/04/2008,CFK-20080428-02,,Palacio San Martín,,Argentina,Capital Federal,,,No,,
Presentación del programa nacional de cardiopatías congénitas,,,🔍 Buscar video,08/04/2008,CFK-20080408-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Firma del decreto de adjudicación del tren de alta velocidad corredor Buenos Aires-Rosario-Córdoba,,,🔍 Buscar video,16/01/2008,CFK-20080116-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Inauguración de planta potabilizadora de agua y obras de infraestructura en Quilmes,,,🔍 Buscar video,09/04/2008,CFK-20080409-01,Quilmes,,,Argentina,Buenos Aires,,,No,,
Adjudicación de la obra del tren de alta velocidad Buenos Aires-Rosario-Córdoba,,,🔍 Buscar video,29/04/2008,CFK-20080429-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Inauguración de la estación transformadora Santa Cruz Norte del sistema argentino de interconexion,,,🔍 Buscar video,30/04/2008,CFK-20080430-01,Pico Truncado,,,Argentina,Santa Cruz,,,No,,
Llamado a licitación para obras de electrificación e ingeniería del ferrocarril San Martin,,,🔍 Buscar video,10/04/2008,CFK-20080410-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Presentación del Museo del Hielo,,,🔍 Buscar video,02/05/2008,CFK-20080502-02,El Calafate,Museo del Hielo,,Argentina,Santa Cruz,,,No,,
Lanzamiento del Plan de Abordaje Integral,,,🔍 Buscar video,11/04/2008,CFK-20080411-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Modernización de Equipamiento de la Agencia Nacional de Promoción Científica y Tecnológica,,,🔍 Buscar video,05/05/2008,CFK-20080505-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Apertura a licitación de la represa Cóndor Cliff,,,🔍 Buscar video,14/04/2008,CFK-20080414-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Acto de inauguración del Hospital Federico Abete,,,🔍 Buscar video,06/05/2008,CFK-20080506-02,Malvinas Argentinas,,,Argentina,Buenos Aires,,,No,,
Inicio de obra para la Autopista Río Cuarto- Córdoba,,,🔍 Buscar video,13/05/2008,CFK-20080513-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Entrega de Premios a la Educación 2008,,,🔍 Buscar video,06/05/2008,CFK-20080506-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
